zone,season,area_ha,production_tons,yield_mt_ha
Mlimba DC,2020/21,103423.2,258934,2.5036
Mlimba DC,2021/22,94401,236003,2.5
Mlimba DC,2022/23,116707,315110,2.7
Mlimba DC,2023/24,120400,308223,2.56
Mlimba DC,2024/25,121915,324449,2.6613
Ifakara TC,2020/21,24791.8,61797.5,2.4927
Ifakara TC,2021/22,24449.8,48899.4,2.0
Ifakara TC,2022/23,28872.5,72181.25,2.5
Ifakara TC,2023/24,27761.4,69403.5,2.5
Ifakara TC,2024/25,29874.6,59749.2,2
Kilombero District,2020/21,128215,320731.5,2.5015
Kilombero District,2021/22,118850.8,284902.4,2.3971
Kilombero District,2022/23,145579.5,387291.25,2.6603
Kilombero District,2023/24,148161.4,377626.5,2.5488
Kilombero District,2024/25,151789.6,384198.2,2.5311
